Invoice Number,Invoice Date,Customer,Amount Total,Amount Residual,Payment State,Project,Unit,Buyer,Booking Date,Deal ID,Has Deal Info
RINV/2025/00014,2025-08-31,URBAN PROPERTIES DEVELOPMENT LLC,46851.24,0.0,paid,,,,,,No
RINV/2025/00013,2025-08-31,URBAN PROPERTIES DEVELOPMENT LLC,48667.5,0.0,paid,,,,,,No
RINV/2025/00012,2025-08-11,RIVAGE PROPERTY DEVELOPMENTS LLC,131120.93,0.0,paid,,,,,,No
RINV/2025/00011,2025-08-11,RIVAGE PROPERTY DEVELOPMENTS LLC,103615.52,0.0,paid,,,,,,No
RINV/2025/00010,2025-07-31,CONTINENTAL INVESTMENT LMD LLC,8788.2,0.0,paid,,,,,,No
RINV/2025/00009,2025-07-31,CONTINENTAL INVESTMENT LMD LLC,1866.9,0.0,paid,,,,,,No
RINV/2025/00006,2025-07-31,CONTINENTAL INVESTMENT LMD LLC,13335.0,0.0,paid,,,,,,No
RINV/2025/00005,2025-07-30,BINGHATTI DEVELOPERS FZE,105000.0,0.0,paid,,,,,,No
RINV/2025/00004,2025-04-08,REAP REAL ESTATE BROKERS LLC,78703.3,0.0,paid,,,,,,No
RINV/2025/00002,2025-06-30,CONTINENTAL INVESTMENT LMD LLC,19530.0,0.0,paid,,,,,,No
RINV/2025/00001,2025-06-20,CONTINENTAL INVESTMENT LMD LLC,46851.0,0.0,paid,,,,,,No
INV/2025/00264,2025-07-17,EXPO CITY REAL ESTATE DEVELOPMENTS FZCO,88956.0,0.0,paid,AL WAHA 42,AW42-201,EOI HANS & NAIA,2025-05-21,,Yes
INV/2025/00248,2025-07-14,GJRE PROPERTIES INVESTMENTS LLC,158285.7,0.0,paid,,,,,,No
INV/2025/00245,2025-07-11,CONTINENTAL INVESTMENT LMD LLC,8846.21,0.0,paid,,,,,,No
INV/2025/00227,2025-06-30,CONTINENTAL INVESTMENT LMD LLC,19530.0,0.0,reversed,,,,,,No
INV/2025/00222,2025-06-30,CONTINENTAL INVESTMENT LMD LLC,13755.0,0.0,paid,,,,,,No
INV/2025/00219,2025-06-25,REPORTAGE FELIX PROPERTIES LLC,115801.88,0.0,paid,,,,,,No
INV/2025/00217,2025-06-23,CONTINENTAL INVESTMENT LMD LLC,12705.0,0.0,paid,,,,,,No
INV/2025/00216,2025-06-23,CONTINENTAL INVESTMENT LMD LLC,20686.05,0.0,paid,,,,,,No
INV/2025/00214,2025-06-23,CONTINENTAL INVESTMENT LMD LLC,19635.0,0.0,paid,,,,,,No
INV/2025/00213,2025-06-23,CONTINENTAL INVESTMENT LMD LLC,45937.5,0.0,paid,,,,,,No
INV/2025/00210,2025-06-23,CONTINENTAL INVESTMENT LMD LLC,19530.0,0.0,paid,,,,,,No
INV/2025/00209,2025-06-20,CONTINENTAL INVESTMENT LMD LLC,12915.0,0.0,paid,,,,,,No
INV/2025/00206,2025-06-20,GJRE PROPERTIES INVESTMENTS LLC,40233.9,0.0,paid,,,,,,No
INV/2025/00203,2025-06-19,CONTINENTAL INVESTMENT LMD LLC,18740.4,0.0,paid,,,,,,No
INV/2025/00198,2025-06-19,CONTINENTAL INVESTMENT LMD LLC,12705.0,0.0,paid,,,,,,No
INV/2025/00196,2025-06-19,CONTINENTAL INVESTMENT LMD LLC,12495.0,0.0,paid,,,,,,No
INV/2025/00195,2025-06-19,CONTINENTAL INVESTMENT LMD LLC,116776.61,0.0,paid,,,,,,No
INV/2025/00194,2025-06-19,CONTINENTAL INVESTMENT LMD LLC,13274.1,0.0,paid,,,,,,No
INV/2025/00192,2025-06-18,GJRE PROPERTIES INVESTMENTS LLC,54770.69,0.0,paid,,,,,,No
INV/2025/00185,2025-06-14,JUNAID VARDA,5.0,0.0,paid,,,,,,No
INV/2025/00183,2025-05-30,DAMAC ELITE INVESTMENT CO LLC,171150.0,0.0,paid,,,,,,No
INV/2025/00179,2025-05-30,CONTINENTAL INVESTMENT LMD LLC,78645.0,0.0,paid,,,,,,No
INV/2025/00178,2025-05-30,CONTINENTAL INVESTMENT LMD LLC,126736.79,0.0,paid,,,,,,No
INV/2025/00177,2025-05-22,CONTINENTAL INVESTMENT LMD LLC,17654.55,0.0,paid,RUKAN TOWER  C,C106,,,,Yes
INV/2025/00173,2025-05-30,CONTINENTAL INVESTMENT LMD LLC,19958.4,0.0,paid,,,,,,No
INV/2025/00172,2025-05-30,CONTINENTAL INVESTMENT LMD LLC,19854.45,0.0,paid,,,,,,No
INV/2025/00170,2025-05-30,CONTINENTAL INVESTMENT LMD LLC,12993.75,0.0,paid,,,,,,No
INV/2025/00168,2025-05-30,CONTINENTAL INVESTMENT LMD LLC,20055.0,0.0,paid,,,,,,No
INV/2025/00167,2025-05-30,CONTINENTAL INVESTMENT LMD LLC,45937.5,0.0,paid,,,,,,No
INV/2025/00165,2025-05-30,CONTINENTAL INVESTMENT LMD LLC,69090.0,0.0,paid,,,,,,No
INV/2025/00161,2025-05-16,CONTINENTAL INVESTMENT LMD LLC,45937.5,0.0,paid,,,,,,No
INV/2025/00160,2025-05-16,CONTINENTAL INVESTMENT LMD LLC,66798.27,0.0,paid,THE PIER SHOP 2,THE PIER SHOP 2,,,,Yes
INV/2025/00159,2025-05-16,CONTINENTAL INVESTMENT LMD LLC,60221.74,0.0,paid,,,,,,No
INV/2025/00157,2025-05-16,CONTINENTAL INVESTMENT LMD LLC,46501.81,0.0,paid,,,,,,No
INV/2025/00153,2025-05-14,BINGHATTI DEVELOPERS FZE,105000.0,0.0,paid,BINGHATTI IVORY,IVORY 711,,,,Yes
INV/2025/00152,2025-05-14,BINGHATTI DEVELOPERS FZE,31500.0,0.0,paid,,,,,,No
INV/2025/00151,2025-05-05,DUGASTA PROPERTIES DEVELOPMENT,75862.95,0.0,paid,,,,,,No
INV/2025/00148,2025-04-30,NAKHEEL PJSC,862764.0,0.0,paid,,,,,,No
INV/2025/00145,2025-04-24,LIV MARITIME REAL ESTATE DEVELOPMENT LLC,85866.27,0.0,paid,,,,,,No
INV/2025/00143,2025-04-23,GJRE PROPERTIES INVESTMENTS LLC,55391.62,0.0,paid,,,,,,No
INV/2025/00141,2025-04-23,GJRE PROPERTIES INVESTMENTS LLC,58591.01,0.0,paid,,,,,,No
INV/2025/00136,2025-04-22,CONTINENTAL INVESTMENT LMD LLC,48111.49,0.0,paid,,,,,,No
INV/2025/00133,2025-04-18,REPORTAGE FELIX PROPERTIES LLC,29103.57,0.0,paid,,,,,,No
INV/2025/00131,2025-04-18,18 BRICKS REAL ESTATE BROKERS LLC,90042.08,0.0,paid,,,,,,No
INV/2025/00130,2025-04-18,18 BRICKS REAL ESTATE BROKERS LLC,33122.88,0.0,paid,,,,,,No
INV/2025/00127,2025-04-14,DEYAAR DEVELOPMENT PJSC,20180.07,0.0,paid,,,,,,No
INV/2025/00125,2025-04-11,CONTINENTAL INVESTMENT LMD LLC,144228.0,0.0,paid,,,,,,No
INV/2025/00123,2025-04-10,CONTINENTAL INVESTMENT LMD LLC,75852.0,0.0,paid,,,,,,No
INV/2025/00121,2025-04-09,ARIF LAKHANI,51450.0,0.0,paid,THE VALLEY ORANIA,TH34,,,,Yes
INV/2025/00116,2025-04-07,DEYAAR DEVELOPMENT PJSC,50809.97,0.0,paid,,,,,,No
INV/2025/00114,2025-04-07,RIVAGE PROPERTY DEVELOPMENTS LLC,131120.93,0.0,reversed,,,,,,No
INV/2025/00113,2025-04-07,RIVAGE PROPERTY DEVELOPMENTS LLC,103615.52,0.0,reversed,,,,,,No
INV/2025/00111,2025-04-04,OCTA PROPERTIES LLC,111556.62,0.0,paid,,,,,,No
INV/2025/00110,2025-04-04,REAP REAL ESTATE BROKERS LLC,78703.3,0.0,reversed,,,,,,No
INV/2025/00109,2025-04-04,BINGHATTI DEVELOPERS FZE,31500.0,0.0,paid,,,,,,No
INV/2025/00104,2025-04-04,CONTINENTAL INVESTMENT LMD LLC,53534.25,0.0,paid,,,,,,No
INV/2025/00102,2025-04-04,CONTINENTAL INVESTMENT LMD LLC,44824.5,0.0,paid,,,,,,No
INV/2025/00101,2025-04-04,CONTINENTAL INVESTMENT LMD LLC,141598.63,0.0,paid,,,,,,No
INV/2025/00096,2025-04-04,CONTINENTAL INVESTMENT LMD LLC,28848.02,0.0,paid,,,,,,No
INV/2025/00094,2025-04-04,PRIMERA LINE PROPERTY BROKERAGE LLC,153784.05,0.0,paid,,,,,,No
INV/2025/00093,2025-04-03,EXPO CITY REAL ESTATE DEVELOPMENTS FZCO,121590.0,0.0,paid,,,,,,No
INV/2025/00092,2025-04-02,EVOLUTIONS PROJECT MANAGEMENT LLC,235441.01,0.0,paid,,,,,,No
INV/2025/00090,2025-03-26,SUHAIL YOUSUF RASHED ALMATROOSHI ALFALASI,27200.54,0.0,paid,,,,,,No
INV/2025/00089,2025-03-19,EXPO CITY REAL ESTATE DEVELOPMENTS FZCO,82530.0,0.0,paid,,,,,,No
INV/2025/00088,2025-03-19,EXPO CITY REAL ESTATE DEVELOPMENTS FZCO,83958.0,0.0,paid,,,,,,No
INV/2025/00087,2025-03-19,EXPO CITY REAL ESTATE DEVELOPMENTS FZCO,116760.0,0.0,paid,,,,,,No
INV/2025/00080,2025-03-12,CONTINENTAL INVESTMENT LMD LLC,65281.59,0.0,paid,,,,,,No
INV/2025/00074,2025-03-10,CONTINENTAL INVESTMENT LMD LLC,163203.97,0.0,paid,,,,,,No
INV/2025/00073,2025-03-07,OCTA PROPERTIES LLC,134604.12,0.0,paid,,,,,,No
INV/2025/00071,2025-03-07,CONTINENTAL INVESTMENT LMD LLC,80104.75,0.0,paid,,,,,,No
INV/2025/00063,2025-03-07,GJRE PROPERTIES INVESTMENTS LLC,67261.82,0.0,paid,,,,,,No
INV/2025/00062,2025-03-03,GJRE PROPERTIES INVESTMENTS LLC,275184.0,0.0,paid,,,,,,No
INV/2025/00060,2025-02-28,CONTINENTAL INVESTMENT LMD LLC,30712.5,0.0,paid,,,,,,No
INV/2025/00057,2025-02-28,CONTINENTAL INVESTMENT LMD LLC,46660.57,0.0,paid,,,,,,No
INV/2025/00056,2025-02-28,CONTINENTAL INVESTMENT LMD LLC,54832.05,0.0,paid,,,,,,No
INV/2025/00055,2025-02-28,CONTINENTAL INVESTMENT LMD LLC,30263.63,-0.01,partial,,,,,,No
INV/2025/00050,2025-02-12,SOBHA LLC,27204.16,0.0,paid,,,,,,No
INV/2025/00049,2025-01-29,CONTINENTAL INVESTMENT LMD LLC,47281.56,0.0,paid,,,,,,No
INV/2025/00048,2025-01-29,CONTINENTAL INVESTMENT LMD LLC,44168.61,0.0,paid,,,,,,No
INV/2025/00047,2025-01-29,CONTINENTAL INVESTMENT LMD LLC,47164.07,0.0,paid,,,,,,No
INV/2025/00046,2025-01-29,CONTINENTAL INVESTMENT LMD LLC,60327.35,0.0,paid,,,,,,No
INV/2025/00045,2025-01-29,CONTINENTAL INVESTMENT LMD LLC,17225.0,0.0,paid,,,,,,No
INV/2025/00044,2025-01-29,CONTINENTAL INVESTMENT LMD LLC,15584.79,0.0,paid,,,,,,No
INV/2025/00043,2025-01-29,CONTINENTAL INVESTMENT LMD LLC,32701.68,0.0,paid,,,,,,No
INV/2025/00042,2025-01-29,CONTINENTAL INVESTMENT LMD LLC,86124.99,0.0,paid,,,,,,No
INV/2025/00041,2025-01-29,CONTINENTAL INVESTMENT LMD LLC,77923.97,0.0,paid,,,,,,No
INV/2025/00040,2025-01-29,CONTINENTAL INVESTMENT LMD LLC,81754.21,0.0,paid,,,,,,No
INV/2025/00037,2025-01-29,CONTINENTAL INVESTMENT LMD LLC,127449.0,0.0,paid,,,,,,No
INV/2025/00036,2025-01-29,CONTINENTAL INVESTMENT LMD LLC,79821.0,0.0,paid,,,,,,No
INV/2025/00035,2025-01-29,CONTINENTAL INVESTMENT LMD LLC,78057.0,0.0,paid,,,,,,No
INV/2025/00034,2025-01-29,CONTINENTAL INVESTMENT LMD LLC,59640.0,0.0,paid,,,,,,No
INV/2025/00031,2025-01-29,CONTINENTAL INVESTMENT LMD LLC,8253.86,0.0,paid,,,,,,No
INV/2025/00030,2025-01-27,UPSTREAM PROPERTIES,93583.22,0.0,paid,,,,,,No
INV/2025/00029,2025-01-23,PREMIER ESTATE REAL ESTATE BROKERS LLC,86788.91,0.0,paid,,,,,,No
INV/2025/00028,2025-01-21,DUBAI FESTIVAL CITY MARSA PLAZA LLC 1,94783.5,0.0,paid,,,,,,No
INV/2025/00027,2025-01-20,BINGHATTI DEVELOPERS FZE,56175.0,0.0,paid,,,,,,No
INV/2025/00026,2025-01-20,PRIMERA LINE PROPERTY BROKERAGE LLC,159127.5,0.0,paid,,,,,,No
INV/2025/00025,2025-01-20,SOBHA LLC,27204.16,0.0,paid,,,,,,No
INV/2025/00023,2025-01-16,18 BRICKS REAL ESTATE BROKERS LLC,60690.89,0.0,paid,,,,,,No
INV/2025/00019,2025-01-14,GJRE PROPERTIES INVESTMENTS LLC,85321.78,0.0,paid,,,,,,No
INV/2025/00018,2025-01-13,CONTINENTAL INVESTMENT LMD LLC,16685.14,0.0,paid,,,,,,No
INV/2025/00017,2025-01-13,CONTINENTAL INVESTMENT LMD LLC,29344.39,0.0,paid,,,,,,No
INV/2025/00016,2025-01-13,CONTINENTAL INVESTMENT LMD LLC,35415.93,0.0,paid,,,,,,No
INV/2025/00015,2025-01-13,CONTINENTAL INVESTMENT LMD LLC,83425.7,0.0,paid,,,,,,No
INV/2025/00014,2025-01-13,CONTINENTAL INVESTMENT LMD LLC,146721.96,0.0,paid,,,,,,No
INV/2025/00013,2025-01-13,CONTINENTAL INVESTMENT LMD LLC,88539.83,0.0,paid,,,,,,No
INV/2025/00012,2025-01-09,GJRE PROPERTIES INVESTMENTS LLC,39338.49,0.0,paid,,,,,,No
INV/2025/00011,2025-01-09,DAMAC MRY INVESTMENT LLC,24150.0,0.0,paid,,,,,,No
INV/2025/00009,2025-01-07,CONTINENTAL INVESTMENT LMD LLC,143640.0,0.0,paid,,,,,,No
INV/2025/00008,2025-01-07,CONTINENTAL INVESTMENT LMD LLC,60480.0,0.0,paid,,,,,,No
INV/2025/00007,2025-01-07,CONTINENTAL INVESTMENT LMD LLC,80703.0,0.0,paid,,,,,,No
INV/2025/00006,2025-01-07,MARIAM DUKAEVA,233100.0,0.0,paid,,,,,,No
INV/2025/00004,2025-01-02,CONTINENTAL INVESTMENT LMD LLC,47751.48,0.0,paid,,,,,,No
INV/2025/00003,2025-01-02,CONTINENTAL INVESTMENT LMD LLC,47399.0,0.0,paid,,,,,,No
INV/2025/00002,2025-01-02,CONTINENTAL INVESTMENT LMD LLC,47099.49,0.0,paid,,,,,,No
